device,loop,zone,description,subtype,type,name,locationId
2,41,7,IRD-ICG-B03-SIC-02 COMMS CUPBOARD,x02,OPT,L41 - D2 - Z7 - IRD-ICG-B03-SIC-02 COMMS CUPBOARD - OPT,IRD-ICG-B03-SIC-02
3,41,2001,FPS-BMV-ICG-B03-11,a03,HYD,L41 - D3 - Z2001 - FPS-BMV-ICG-B03-11 - HYD,
6,41,11,IRD-ICG-B03-SEL-03 ELEC CUPBOARD,x02,OPT,L41 - D6 - Z11 - IRD-ICG-B03-SEL-03 ELEC CUPBOARD - OPT,IRD-ICG-B03-SEL-03
7,41,11,IRD-ICG-B03-SIC-01 COMMS CUPBOARD,x02,OPT,L41 - D7 - Z11 - IRD-ICG-B03-SIC-01 COMMS CUPBOARD - OPT,IRD-ICG-B03-SIC-01
8,41,11,IRD-ICG-B03-LGL-01 PUBLIC LOBBY,x02,OPT,L41 - D8 - Z11 - IRD-ICG-B03-LGL-01 PUBLIC LOBBY - OPT,IRD-ICG-B03-LGL-01
9,41,11,IRD-ICG-B03-LGL-01 PUBLIC LOBBY,x02,OPT,L41 - D9 - Z11 - IRD-ICG-B03-LGL-01 PUBLIC LOBBY - OPT,IRD-ICG-B03-LGL-01
10,41,11,IRD-ICG-B03-LGL-01 PUBLIC LOBBY,x02,OPT,L41 - D10 - Z11 - IRD-ICG-B03-LGL-01 PUBLIC LOBBY - OPT,IRD-ICG-B03-LGL-01
11,41,11,IRD-ICG-B03-LGL-01 PUBLIC LOBBY,x02,OPT,L41 - D11 - Z11 - IRD-ICG-B03-LGL-01 PUBLIC LOBBY - OPT,IRD-ICG-B03-LGL-01
12,41,3300,IRD-ICG-B03-LGL-01 DOOR-SIGN,a03,DOOR,L41 - D12 - Z3300 - IRD-ICG-B03-LGL-01 DOOR-SIGN - DOOR,IRD-ICG-B03-LGL-01
13,41,3300,IRD-ICG-B02-HRL-01 ROSEWOOD DOOR,a03,DOOR,L41 - D13 - Z3300 - IRD-ICG-B02-HRL-01 ROSEWOOD DOOR - DOOR,IRD-ICG-B02-HRL-01
14,41,12,IRD-ICG-B02-SEL-01 ELEC CUPBOARD,x02,OPT,L41 - D14 - Z12 - IRD-ICG-B02-SEL-01 ELEC CUPBOARD - OPT,IRD-ICG-B02-SEL-01
15,41,12,IRD-ICG-B02-SIC-02 COMMS CUPBOARD,x02,OPT,L41 - D15 - Z12 - IRD-ICG-B02-SIC-02 COMMS CUPBOARD - OPT,IRD-ICG-B02-SIC-02
